bvets vehicle performance table 1.00
#,B1b,B1c,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B13
#a,2.793650794,3.1,3.81,4.79,6.02,7.41,8.89,10.26,12.3,14.8,18.2,22.9,29.4,40
#b,-147.2380952,-105,-108,-112,-120,-120,-123,-117,-116,-109,-109,-121,-140,-150
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,108,154,250
15,0,0,0,0,0,0,0,0,0,113,164,222.5,301,450
20,0,0,0,0,0,0,0,88.2,130,187,255,337,448,650
25,0,0,0,0,0,0,99.25,139.5,191.5,261,346,451.5,595,850
30,0,0,0,0,0,102.3,143.7,190.8,253,335,437,566,742,1050
35,0,0,0,0,90.7,139.35,188.15,242.1,314.5,409,528,680.5,889,1250
40,0,0,0,79.6,120.8,176.4,232.6,293.4,376,483,619,795,1036,1450
45,0,0,0,103.55,150.9,213.45,277.05,344.7,437.5,557,710,909.5,1183,1650
50,0,0,82.5,127.5,181,250.5,321.5,396,499,631,801,1024,1330,1850
55,0,0,101.55,151.45,211.1,287.55,365.95,447.3,560.5,705,892,1138.5,1477,2050
60,0,81,120.6,175.4,241.2,324.6,410.4,498.6,622,779,983,1253,1624,2250
65,0,96.5,139.65,199.35,271.3,361.65,454.85,549.9,683.5,853,1074,1367.5,1771,2450
70,0,112,158.7,223.3,301.4,398.7,499.3,601.2,745,927,1165,1482,1918,2650
75,0,127.5,177.75,247.25,331.5,435.75,543.75,652.5,806.5,1001,1256,1596.5,2065,2850
80,76.25396825,143,196.8,271.2,361.6,472.8,588.2,703.8,868,1075,1347,1711,2212,3050
85,90.22222222,158.5,215.85,295.15,391.7,509.85,632.65,755.1,929.5,1149,1438,1825.5,2359,3250
90,104.1904762,174,234.9,319.1,421.8,546.9,677.1,806.4,991,1223,1529,1940,2506,3450
95,118.1587302,189.5,253.95,343.05,451.9,583.95,721.55,857.7,1052.5,1297,1620,2054.5,2653,3650
100,132.1269841,205,273,367,482,621,766,909,1114,1371,1711,2169,2800,3850
105,146.0952381,220.5,292.05,390.95,512.1,658.05,810.45,960.3,1175.5,1445,1802,2283.5,2947,4050
110,160.0634921,236,311.1,414.9,542.2,695.1,854.9,1011.6,1237,1519,1893,2398,3094,4250
115,174.031746,251.5,330.15,438.85,572.3,732.15,899.35,1062.9,1298.5,1593,1984,2512.5,3241,4450
120,188,267,349.2,462.8,602.4,769.2,943.8,1114.2,1360,1667,2075,2627,3388,4650
