bvets vehicle performance table 1.00
#,B1b,B1c,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B13
#k,39.2266,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,10762.49241,17826.99124,33131.76703
15,0,0,0,0,0,0,0,0,0,11521.92919,19385.8171,28669.9987,41571.21507,67455.04203
20,0,0,0,0,0,0,0,7775.347669,14119.41854,23002.37821,33949.69067,47657.47311,67095.49885,105073.3514
25,0,0,0,0,0,0,9438.433461,15581.32576,23715.06326,34933.91744,49195.71873,67724.91564,94399.8426,145986.6952
30,0,0,0,0,0,9899.246527,16230.0126,23604.09158,33622.27408,47316.54688,65123.90129,88872.32629,123484.2463,190195.0734
35,0,0,0,0,8150.731031,15558.18525,23184.35016,31843.64513,43841.051,60150.26653,81734.23835,111099.7051,154348.71,237698.486
40,0,0,0,6487.960705,12710.76277,21330.20152,30301.44615,40299.98641,54371.39402,73435.07639,99026.7299,134407.0519,186993.2336,288496.933
45,0,0,0,10088.32573,17345.42787,27215.29535,37581.30058,48973.11541,65213.30313,87170.97646,117001.376,158794.3669,221417.8172,342590.4144
50,0,0,6921.398729,13735.94175,22054.72632,33213.46672,45023.91343,57863.03213,76366.77833,101357.9667,135658.1765,184261.6501,257622.4607,399978.9302
55,0,0,9785.86079,17430.80877,26838.65812,39324.71564,52629.28472,66969.73659,87831.81964,115996.0472,154997.1315,210808.9013,295607.1642,460662.4804
60,0,6697.120153,12680.21726,21172.92679,31697.22328,45549.0421,60397.41443,76293.22877,99608.42704,131085.2179,175018.2411,238436.1207,335371.9276,524641.065
65,0,9023.603217,15604.46813,24962.2958,36630.42178,51886.44612,68328.30258,85833.50868,111696.6005,146625.4788,195721.5051,267143.3081,376916.7511,591914.684
70,0,11369.87708,18558.61341,28798.91582,41638.25364,58336.92769,76421.94915,95590.57632,124096.3401,162616.8299,217106.9237,296930.4637,420241.6344,662483.3374
75,0,13735.94175,21542.65309,32682.78684,46720.71886,64900.4868,84678.35416,105564.4317,136807.6458,179059.2713,239174.4967,327797.5875,465346.5778,736347.0252
80,5988.718962,16121.79721,24556.58718,36613.90886,51877.81742,71577.12347,93097.5176,115755.0748,149830.5176,195952.8028,261924.2242,359744.6793,512231.5811,813505.7474
85,8078.951305,18527.44348,27600.41567,40592.28187,57109.54934,78366.83768,101679.4395,126162.5056,163164.9555,213297.4245,285356.1062,392771.7392,560896.6443,893959.504
90,10185.25618,20952.88054,30674.13857,44617.90588,62415.91461,85269.62945,110424.1198,136786.7241,176810.9595,231093.1365,309470.1428,426878.7673,611341.7675,977708.295
95,12307.63358,23398.10841,33777.75588,48690.7809,67796.91324,92285.49876,119331.5585,147627.7304,190768.5295,249339.9387,334266.3338,462065.7635,663566.9507,1064752.12
100,14446.08351,25863.12708,36911.26759,52810.90691,73252.54522,99414.44562,128401.7556,158685.5244,205037.6657,268037.831,359744.6793,498332.7278,717572.1938,1155090.98
105,16600.60596,28347.93655,40074.6737,56978.28392,78782.81055,106656.47,137634.7112,169960.1061,219618.368,287186.8136,385905.1793,535679.6602,773357.4969,1248724.874
110,18771.20095,30852.53681,43267.97423,61192.91194,84387.70923,114011.572,147030.4252,181451.4756,234510.6363,306786.8864,412747.8338,574106.5608,830922.8599,1345653.803
115,20957.86847,33376.92788,46491.16915,65454.79095,90067.24127,121479.7515,156588.8977,193159.6328,249714.4708,326838.0494,440272.6428,613613.4294,890268.2829,1445877.766
120,23160.60851,35921.10975,49744.25849,69763.92096,95821.40666,129061.0085,166310.1286,205084.5777,265229.8714,347340.3026,468479.6063,654200.2662,951393.7659,1549396.763
