bvets vehicle performance table 1.00
#,S1a,S1,S2,S3,S4,S5,S6,S7,P1,P2,P3,P4,P5,P6,WF1,WF2,WF3,WF4
#k,13075.53333,,,,,,,,,,,,,,,,,
0,21823.54893,44484.01809,63126.49881,94195.91753,152514.0726,320549.0792,1889188.769,2497632.869,129489.4801,453244.5173,11755212.61,8224464.333,4708672.086,3645002.705,2688068.682,1766192.891,3165350.714,4815344.587
2,19386.03853,39013.23196,54632.69196,79334.31836,121579.2048,215371.0818,592165.8364,2497632.869,116956.6605,333926.8801,11755212.61,8224464.333,4708672.086,3645002.705,2688068.682,1766192.891,3165350.714,4815344.587
4,17144.01777,34124.43816,47246.63672,67071.67539,98408.57607,155292.1456,308042.6125,2497632.869,105929.4042,258730.2766,7154000.261,8224464.333,4708672.086,3645002.705,2688068.682,1766192.891,3165350.714,4815344.587
6,15075.12795,29731.36007,40770.1094,56798.19527,80476.35415,116964.8067,193771.8294,2497632.869,96160.88891,207593.0611,1416105.327,8224464.333,4708672.086,3645002.705,2688068.682,1766192.891,3165350.714,4815344.587
8,13160.26678,25763.72632,35048.74899,48077.88739,66228.39733,90608.54114,134102.4247,420543.972,87454.27189,170841.8199,657217.2255,8224464.333,4708672.086,3645002.705,2688068.682,1766192.891,3165350.714,4815344.587
10,11383.02022,22163.76292,29960.70152,40591.46576,54660.78309,71475.2364,98028.26542,194708.6295,79650.84076,143299.9174,399072.7799,8224464.333,4708672.086,3645002.705,2688068.682,1766192.891,3165350.714,4815344.587
12,9729.208575,18883.56196,25408.58821,34100.18665,45098.60503,57005.77324,74075.92005,117267.2007,72621.34528,121971.715,275702.0984,2302696.547,4708672.086,3645002.705,2688068.682,1766192.891,3165350.714,4815344.587
14,8186.521178,15883.08292,21313.72264,28422.23769,37072.76066,45708.63988,57104.19063,79259.59306,66259.56521,105014.7017,205186.3029,749269.2792,4708672.086,3645002.705,2688068.682,1766192.891,3165350.714,4815344.587
16,6744.220045,13128.61732,17611.87991,23416.90535,30247.84474,36660.07987,44492.12232,56938.16819,60477.4744,91238.83755,160166.3164,401628.8204,4708672.086,3645002.705,2688068.682,1766192.891,3165350.714,4815344.587
18,5392.897966,10591.59658,14250.15558,18973.7055,24378.1528,29259.47456,34773.01206,42334.71463,55201.56127,79844.06795,129183.9224,260935.4714,3979423.987,3645002.705,2688068.682,1766192.891,3165350.714,4815344.587
20,4124.279686,8247.657495,11184.60273,15004.76295,19279.86041,23100.46355,27066.00077,32067.43246,50369.99798,70274.222,106675.8463,187280.9614,714026.9403,3645002.705,2688068.682,1766192.891,3165350.714,4815344.587
22,2931.057535,6075.902983,8378.432392,11439.36779,14812.8784,17898.85249,20811.92063,24468.28699,45930.44031,62131.55037,89642.70118,142699.6241,336503.3126,2048370.945,2688068.682,1766192.891,3165350.714,4815344.587
24,1806.754769,4058.312331,5800.627696,8220.020338,10868.69443,13450.23494,15639.60142,18623.42019,41838.30141,55124.59539,76335.69124,113082.4658,208035.3068,500075.0759,2688068.682,1766192.891,3165350.714,4815344.587
26,745.6113309,2179.267072,3424.865542,5299.513261,7362.029194,9604.017333,11293.44029,13991.6815,38055.38556,49035.23242,65671.24451,92091.89814,145702.5101,254069.2905,984326.5217,1766192.891,3165350.714,4815344.587
28,-4.207743238,425.167001,1228.669484,2638.748771,4224.987786,6246.919079,7591.91798,10232.82705,34548.79787,43697.17539,56944.51703,76492.25331,109472.8212,162494.2468,354919.5906,1766192.891,3165350.714,4815344.587
30,-4.207743238,-4.207743238,-4.207743238,205.084722,1402.881566,3292.16246,4402.712437,7122.490527,31290.06759,38981.5735,49678.42005,64471.12634,85977.64773,115996.3921,204984.8385,1766192.891,3165350.714,4815344.587
32,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,672.1967948,1627.17236,4506.865239,28254.43809,34787.12612,43539.14854,54939.37816,69580.53746,88199.67115,140442.3091,1766192.891,1035034.153,1052192.812
34,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,2277.063078,25420.28802,31033.15281,38286.51198,47205.35352,57520.08809,69821.50329,104956.3699,416852.2519,378216.7767,438284.6644
36,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,353.8735125,22768.6564,27654.64201,33743.48138,40809.82372,48293.073,56812.28204,82627.146,194558.336,219772.5998,263162.2315
38,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,20282.85064,24598.65226,29776.83874,35436.49741,41014.57594,47138.9361,67321.43006,123928.2103,151893.3143,184169.1981
40,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,17948.12127,21821.65596,26284.49546,30860.73798,35131.19908,39673.98127,56191.6217,90079.72649,114795.4399,140028.3473
42,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,15751.39056,19287.55092,23186.9541,26918.78648,30279.79765,33743.87871,47741.08576,70388.08815,91575.89731,112091.5614
44,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,13681.02491,16966.15267,20421.42161,23488.55418,26212.53508,28922.35665,41109.88541,57557.57042,75731.26424,92912.09554
46,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,11726.64318,14832.03781,17937.6641,20477.22633,22754.6638,24926.89616,35769.51519,48552.25867,64252.88955,78969.7343
48,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,9878.954467,12863.64695,15695.03237,17813.02565,19779.53309,21563.05458,31377.59434,41891.0013,55565.3241,68396.00493
49,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,8992.480324,11935.74118,14653.51011,16593.0007,18442.64761,20073.2116,29461.93213,39172.17758,51970.24282,64016.17125
50,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,8129.620193,11042.5821,13660.29123,15439.59816,17193.1654,18692.73589,27702.71935,36767.52936,48766.50912,60111.44714
51,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,7289.461263,10182.27289,12712.11626,14347.54292,16022.8313,17410.06946,26081.59306,34625.79787,45893.8843,56609.17754
52,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,6471.136486,9353.05124,11806.01077,13312.09941,14924.39353,16215.22105,24582.94948,32706.26327,43303.83397,53450.70437
53,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,5673.821773,8553.27773,10939.25505,12329.00462,13891.45632,15099.51022,23193.44548,30976.17578,40956.8273,50588.16834
54,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,4896.733399,7781.425356,10109.35755,11394.41085,12918.35761,14055.35991,21901.6043,29408.90161,38820.34893,47982.1457
55,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,4139.125587,7036.070115,9314.031563,10504.8366,12000.06717,13076.12705,20697.50073,27982.56234,36867.41386,45599.87707
56,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3400.288266,6315.882523,8551.174684,9657.124137,11132.10112,12155.96338,19572.50798,26679.02137,35075.44332,43413.92279
57,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,2679.544981,5619.619944,7818.850695,8848.40291,10310.44995,11289.70035,18519.09237,25483.11851,33425.40335,41401.13006
58,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,1976.25095,4946.119652,7115.273536,8076.057744,9531.51759,10472.75347,17530.64579,24382.08469,31901.13742,39541.83078
59,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,1289.79125,4294.292551,6438.79309,7337.701168,8792.069628,9701.042246,16601.34801,23365.08934,30488.84396,37819.21242
60,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,619.579128,3663.117466,5787.882542,6631.149257,8089.18908,8970.922996,15726.05278,22422.88669,29176.66349,36218.81997
61,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3051.635962,5161.127126,5954.400473,7420.238493,8279.132035,14900.19318,21547.53658,27954.34948,34728.15828
62,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,2458.947622,4557.214064,5305.617081,6782.827331,7622.737529,14119.70242,20732.18231,26813.00381,33336.37202
63,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,1884.205749,3974.923586,4683.108789,6174.783815,6999.098455,13380.94727,19970.87218,25744.86252,32033.98614
64,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,1326.613437,3413.120859,4085.318299,5594.130526,6405.829501,12680.67188,19258.4152,24743.12111,30812.69403
65,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,785.4199852,2870.748753,3510.808528,5039.063191,5840.770911,12015.95005,18590.2635,23801.79108,29665.18333
